[0, 2511]	[0, 2354]
[373869, 376087]	[373856, 376173]
[373912, 375114]	[373886, 375161]
[374009, 375771]	[373990, 375820]
[375039, 376155]	[375022, 376181]
[375133, 377309]	[375132, 377437]
[376032, 380418]	[376018, 380756]
[376062, 377809]	[376048, 377847]
[376163, 377371]	[376127, 377527]
[376648, 381179]	[376623, 381372]
[377128, 381091]	[377126, 381405]
[378174, 379488]	[378169, 379551]
[378955, 383061]	[378955, 383350]
[379203, 384189]	[379195, 384389]
[379815, 382078]	[379799, 382184]
[380812, 383394]	[380800, 383544]
[380926, 384046]	[380849, 384270]
[382070, 383494]	[382070, 383581]
[382423, 383828]	[382410, 383886]
[384877, 393378]	[384876, 394023]
[385305, 387547]	[385305, 387624]
[385350, 388247]	[385341, 388389]
[386218, 388891]	[386213, 388952]
[389160, 389702]	[389160, 389732]
[389404, 392161]	[389363, 392311]
[389408, 394013]	[389408, 394193]
[390177, 392664]	[390169, 392732]
[390569, 393071]	[390556, 393142]
[391259, 392986]	[391229, 393038]
[392067, 393236]	[392062, 393258]
[392100, 396331]	[392091, 396619]
[392238, 392652]	[392216, 392704]
[393323, 398353]	[393323, 398644]
[393694, 395637]	[393661, 395786]
[393990, 395640]	[393980, 395746]
[394421, 397717]	[394411, 397845]
[394611, 395832]	[394550, 395906]
[395985, 397225]	[395985, 397259]
[397817, 401256]	[397755, 401389]
[398228, 399876]	[398186, 399974]
[398418, 399763]	[398392, 400779]
[399358, 401509]	[399350, 401675]
[399463, 400013]	[399463, 400085]
[399631, 400521]	[399583, 400567]
[400148, 407443]	[400143, 407777]
[400557, 403478]	[400548, 403630]
[401127, 403280]	[401127, 403341]
[401649, 404772]	[401633, 404968]
[401857, 403692]	[401846, 403815]
[403319, 404800]	[403261, 404864]
[403501, 405098]	[403497, 405183]
[403639, 405373]	[403608, 405487]
[404272, 405543]	[404272, 405609]
[404383, 408460]	[404383, 408588]
[404504, 406247]	[404497, 406381]
[404631, 407340]	[404610, 407503]
[405101, 407248]	[405082, 407374]
[405258, 405977]	[405246, 406034]
[406415, 408101]	[406414, 408198]
[406496, 407529]	[406489, 407618]
[407888, 409497]	[407888, 409617]
[408066, 409680]	[408037, 409812]
[408533, 410399]	[408481, 410504]
[409178, 411700]	[409171, 411838]
[409382, 410221]	[409370, 410283]
[410029, 413105]	[410029, 413377]
[410168, 412758]	[410138, 412942]
[412246, 418709]	[412246, 419078]
[412653, 415580]	[412653, 415742]
[414275, 416354]	[414180, 416517]
[414273, 416154]	[414260, 416243]
[414755, 416705]	[414742, 416808]
